Punto;TDS_FEB5_21;TDS_B2;TDS_B3;TDS_B4;TDS_B5;TDS_B6;TDS_B7;TDS_B8;TDS_B8A;TDS_B11;TDS_B12
G4;217.20;0.036;0.05199;0.05177;0.04657;0.04151;0.04599;0.03917;0.03799;0.01376;0.00827
G5;215.83;0.02557;0.03285;0.03277;0.02613;0.02556;0.02826;0.02236;0.02327;0.00698;0.00424
G6;214.67;0.02686;0.03263;0.02973;0.02157;0.02248;0.02345;0.02157;0.02172;0.00869;0.0047
G7;213.42;0.0218;0.02542;0.02101;0.01535;0.02657;0.02844;0.02297;0.02562;0.00829;0.00437
G8;211.95;0.02237;0.02575;0.02221;0.01298;0.02081;0.02182;0.01992;0.0203;0.00922;0.00444
G9;210.76;0.02082;0.02311;0.01917;0.01683;0.02674;0.02675;0.02309;0.02463;0.00915;0.0053
K1;216.64;0.04406;0.05893;0.05986;0.05848;0.05082;0.05507;0.04679;0.04375;0.00968;0.00576
K2;216.42;0.03414;0.04347;0.04316;0.03839;0.03629;0.03908;0.03393;0.02952;0.00586;0.00384
K3;215.88;0.02671;0.03741;0.03478;0.02743;0.02603;0.02832;0.02516;0.02512;0.01034;0.00708
K4;215.69;0.03554;0.04105;0.03817;0.02897;0.03018;0.03162;0.03253;0.02673;0.01284;0.00774
K5;215.24;0.02464;0.0318;0.02933;0.02169;0.02289;0.02435;0.02157;0.0211;0.00737;0.00549
K6;214.61;0.02108;0.02437;0.02158;0.017;0.02396;0.02465;0.02035;0.02073;0.00592;0.00357
K8;211.55;0.02082;0.02377;0.01848;0.0224;0.03819;0.0422;0.03619;0.03546;0.00829;0.00536
K9;211.08;0.02108;0.02437;0.02158;0.01582;0.02111;0.02188;0.01724;0.01949;0.00612;0.00377
K10;211.36;0.02123;0.02305;0.01917;0.01321;0.02111;0.02182;0.01736;0.01863;0.00592;0.00304
K11;215.38;0.02288;0.02762;0.02479;0.01967;0.02301;0.02363;0.02053;0.01992;0.0052;0.00245
K12;217.10;0.04649;0.06509;0.0656;0.05783;0.05331;0.05922;0.05026;0.04802;0.01343;0.00827
K13;213.65;0.02144;0.02531;0.02066;0.01849;0.0325;0.03481;0.03089;0.03416;0.00803;0.00457
K14;214.94;0.02624;0.03538;0.03427;0.02435;0.02402;0.02531;0.02187;0.02376;0.0081;0.0051
K15;215.85;0.02614;0.03285;0.03185;0.02471;0.02325;0.02465;0.02132;0.02104;0.00658;0.00324
K16;212.90;0.02252;0.02635;0.02336;0.01754;0.02758;0.02976;0.02778;0.02834;0.01119;0.00523
K17;214.63;0.02438;0.02724;0.02325;0.02388;0.0411;0.04503;0.03978;0.0414;0.00862;0.00424
K18;217.35;0.03456;0.05199;0.05062;0.04272;0.03226;0.03403;0.02821;0.02803;0.01145;0.00649
K19;211.75;0.02139;0.0236;0.02101;0.01446;0.0207;0.02164;0.01864;0.01912;0.00619;0.00318
K20;214.23;0.02237;0.02536;0.02118;0.02056;0.03546;0.0395;0.03527;0.03577;0.00764;0.00457
K21;216.14;0.02314;0.0312;0.02801;0.01955;0.02319;0.02465;0.02108;0.0216;0.00744;0.0041
K22;212.84;0.02335;0.02685;0.02267;0.01475;0.02271;0.02393;0.0212;0.0224;0.00948;0.00576
K23;211.84;0.02252;0.02536;0.02204;0.01375;0.01969;0.02008;0.01742;0.01776;0.00724;0.00437
K24;211.88;0.02139;0.02294;0.01934;0.01582;0.02479;0.02699;0.02352;0.0237;0.00718;0.0047
K25;211.29;0.02201;0.02481;0.02072;0.01772;0.02414;0.02729;0.02333;0.0232;0.00797;0.00404
K26;211.58;0.02056;0.02525;0.02175;0.01404;0.01963;0.02116;0.01876;0.019;0.00803;0.00444
K27;212.38;0.02195;0.02465;0.02083;0.01493;0.0252;0.02591;0.02425;0.02667;0.01152;0.00556
K28;212.27;0.02252;0.02454;0.02124;0.01458;0.0223;0.02363;0.02114;0.02327;0.00941;0.00563
K29;213.15;0.02381;0.02691;0.02359;0.017;0.02568;0.02735;0.02339;0.02655;0.00922;0.0051
K30;214.50;0.02371;0.02608;0.02256;0.02169;0.03706;0.04118;0.03552;0.03799;0.00816;0.00483
